40 100 22 66 53 56 26 25 96 57 
99 36 72 38 55 68 88 70 0 70 
26 21 51 18 71 78 68 37 12 12 
31 82 79 20 26 51 37 69 68 33 
21 18 7 10 100 28 47 47 62 61 
45 34 100 65 52 75 22 19 13 72 
33 22 5 69 0 18 65 66 23 52 
29 70 55 80 98 88 17 97 17 89 
83 37 23 8 20 38 74 88 64 41 
18 32 49 74 84 97 80 90 46 47 
23 29 18 56 64 40 58 14 53 27 
5 13 30 23 12 60 60 62 43 44 
73 96 16 30 12 44 75 61 33 33 
86 3 49 28 69 75 63 58 82 94 
94 73 80 33 95 47 93 25 86 92 
85 52 20 4 45 74 44 4 46 32 
95 51 74 30 85 20 37 31 67 51 
37 100 38 41 87 7 87 42 38 41 
72 96 35 70 2 23 32 91 11 38 
2 35 10 61 6 20 4 71 82 78 
7 28 55 22 92 47 76 19 43 86 
10 73 61 80 0 34 6 13 99 74 
10 9 62 82 17 59 29 10 7 83 
58 92 28 55 2 4 15 17 20 90 
48 14 21 41 43 75 55 29 44 93 
11 89 68 64 11 8 80 10 76 50 
87 58 17 67 9 46 3 20 72 4 
35 52 54 58 42 26 78 80 0 32 
21 70 86 46 40 60 63 71 53 17 
27 4 0 49 97 49 69 19 64 43 
96 39 75 100 7 59 66 91 71 31 
51 1 65 26 27 39 83 3 88 33 
14 54 58 20 58 20 44 6 2 93 
90 16 67 80 80 38 32 51 45 84 
87 34 90 83 87 20 45 61 57 15 
35 64 38 25 89 34 36 74 91 25 
0 34 37 40 82 9 12 99 37 27 
25 52 5 31 82 63 86 26 41 33 
81 85 84 69 20 100 44 7 15 80 
23 100 65 68 52 99 36 47 50 4 
62 27 42 76 64 21 5 73 46 65 
7 77 41 36 10 88 35 89 83 17 
79 91 54 44 45 68 17 65 42 67 
98 14 31 38 35 13 45 51 7 81 
29 60 27 85 18 76 87 54 10 64 
12 53 79 24 23 11 15 8 86 38 
14 97 70 91 47 60 35 43 4 83 
5 92 21 95 44 18 18 37 86 92 
39 2 89 63 58 97 81 70 100 68 
34 43 80 16 7 63 49 29 64 38 
98 56 86 1 15 43 35 42 34 63 
63 5 93 12 55 21 44 75 3 43 
90 13 43 95 72 0 22 24 14 11 
46 61 39 39 16 85 13 23 85 90 
78 34 40 61 52 75 4 59 39 24 
84 71 57 88 27 32 20 38 51 87 
42 33 100 70 60 78 21 79 11 29 
51 64 16 12 98 76 94 17 80 66 
74 19 36 61 64 64 17 24 31 53 
86 56 69 67 32 39 78 46 53 29 
87 85 12 70 78 30 12 44 58 1 
67 0 95 72 45 25 57 32 25 25 
53 38 47 31 69 45 100 14 -1
